date,forecasted_sales
2022-12-02,382.3678853545824
2022-12-03,381.2798790190534
2022-12-04,375.4525734920443
2022-12-05,375.26614422506316
2022-12-06,379.58433847476556
2022-12-07,381.31285293755315
2022-12-08,379.24671493814935
2022-12-09,378.7883442374641
2022-12-10,378.28170523573425
2022-12-11,378.77736220168316
2022-12-12,379.3192270928832
2022-12-13,379.2381178446772
2022-12-14,378.96115334773907
2022-12-15,378.90443807393547
2022-12-16,378.9158861807735
2022-12-17,379.02010276040505
2022-12-18,379.0539891128318
2022-12-19,379.01287713809614
2022-12-20,378.9815561738633
2022-12-21,378.98243997454455
2022-12-22,378.9945402073581
2022-12-23,379.0070285562175
2022-12-24,379.0046389451246
2022-12-25,378.9973237636905
2022-12-26,378.9950536750324
2022-12-27,378.99688483886416
2022-12-28,378.99917426113103
2022-12-29,378.99989295118763
2022-12-30,378.9987821953747
2022-12-31,378.9979194062359
